Title,Genres,Difficulty,AI Reasoning
"Fantasia","Animation, Music, Family, Fantasy","Easy Mode","A hallmark Disney animated classic that is globally recognized and culturally significant."
"Me and Earl and the Dying Girl","Comedy, Drama","Hard Mode","A well-regarded modern independent film that is popular among cinephiles but less known by the general public."
"The Last Emperor","Biography, Drama, History","Easy Mode","A massive critical and commercial success that won nine Academy Awards, including Best Picture."
"Run Lola Run","Action, Crime, Thriller","Hard Mode","A cult classic of German cinema that is highly recognized in film circles but niche for mainstream global audiences."
"The Quiet Man","Comedy, Drama, Romance","Easy Mode","A staple of classic Hollywood starring John Wayne, frequently broadcast and culturally significant in the West."
"Open Your Eyes","Drama, Mystery, Sci-Fi, Thriller","Impossible Mode","The original Spanish film is often overshadowed globally by its high-profile American remake, Vanilla Sky."
"South Park: Bigger, Longer & Uncut","Animation, Comedy, Musical","Easy Mode","Based on a globally famous television franchise with massive brand recognition."
"The Verdict","Drama","Hard Mode","A classic legal drama starring Paul Newman that remains well-known among older generations and film buffs."
"Badlands","Crime, Drama","Hard Mode","Terrence Malick's directorial debut is a masterpiece of American cinema, primarily recognized by film students and enthusiasts."
"Breathless","Crime, Drama","Hard Mode","A cornerstone of the French New Wave that is essential viewing in film history but remains niche for general audiences."
"The Man from Nowhere","Action, Crime, Drama, Thriller","Impossible Mode","While a massive hit in South Korea, it remains relatively obscure to general international audiences who do not follow Asian cinema."
"Invasion of the Body Snatchers","Horror, Sci-Fi","Easy Mode","A major cultural touchstone of the science fiction genre with multiple high-profile adaptations."
"Hedwig and the Angry Inch","Comedy, Drama, Music","Hard Mode","A celebrated indie film and musical that maintains a strong but specific cult following."
"Short Cuts","Drama, Comedy","Hard Mode","A critically acclaimed ensemble drama known primarily to fans of Robert Altman and arthouse cinema."
"Beasts of No Nation","Drama, War","Hard Mode","A high-profile streaming release that is well-known within the film industry but less so by the general public."
"Kubo and the Two Strings","Animation, Adventure, Family, Fantasy","Easy Mode","A widely recognized and heavily marketed modern animated film from a major studio."
"Porco Rosso","Animation, Adventure, Fantasy, Comedy","Hard Mode","A Studio Ghibli production that, while famous among anime fans, is niche compared to the studio's bigger hits."
"Breaking Away","Comedy, Drama, Sport","Impossible Mode","A 1970s sports-drama that, despite its critical success, is largely forgotten by the modern global mainstream."
"Zulu","History, War, Drama, Action","Hard Mode","A landmark of British cinema that remains a classic for older audiences but has diminished in global recognition."
"Fantastic Planet","Animation, Sci-Fi, Fantasy","Impossible Mode","An experimental, psychedelic animated film from the 1970s that is considered obscure outside of specialized circles."
"Two Women","Drama, War","Hard Mode","An essential piece of world cinema history that is mostly recognized by film students and historians."
"The Cure","Drama","Impossible Mode","A relatively obscure 1995 drama that is often mistaken for the famous rock band of the same name."
"Waking Life","Animation, Drama, Fantasy","Hard Mode","A Richard Linklater indie classic that is well-known in philosophical and animation circles but niche globally."
"The Motorcycle Diaries","Adventure, Biography, Drama","Easy Mode","A widely recognized and internationally successful biopic about the early life of Che Guevara."
"The African Queen","Adventure, Romance, War","Easy Mode","An iconic Golden Age Hollywood classic featuring legendary stars Humphrey Bogart and Katharine Hepburn."
"The Magdalene Sisters","Drama","Hard Mode","A critically acclaimed drama that won the Golden Lion but remains niche outside of dedicated film circles."
"Perfect Strangers","Comedy, Drama","Easy Mode","An Italian hit that holds the world record for the most cinematic remakes, ensuring massive global recognition."
"Happy Together","Drama, Romance","Hard Mode","A celebrated work by Wong Kar-wai that is a staple for world cinema enthusiasts but less known to general audiences."
"Hard Boiled","Action, Crime, Thriller","Hard Mode","A legendary John Woo action film with a massive international cult following but limited mainstream recognition."
"Taste of Cherry","Drama","Impossible Mode","A minimalist Iranian masterpiece by Abbas Kiarostami known mainly to hardcore film scholars and cinephiles."
"Purple Noon","Crime, Drama, Thriller","Impossible Mode","The 1960 French adaptation of 'The Talented Mr. Ripley' which is less known than the 1999 Hollywood version."
"The Lady Vanishes","Mystery, Thriller, Comedy","Hard Mode","While a key Hitchcock classic, its age and black-and-white format relegate it to niche status for modern mainstream audiences."
"Frost/Nixon","Biography, Drama, History","Easy Mode","A relatively modern historical drama with high visibility due to its multiple Academy Award nominations and high-profile cast."
"Night on Earth","Comedy, Drama","Impossible Mode","An anthology film by Jim Jarmusch that is primarily recognized only within independent and arthouse film circles."
"Nebraska","Drama, Comedy, Adventure","Easy Mode","A critically acclaimed contemporary film that received significant mainstream awards attention and media coverage upon release."
"The Caine Mutiny","Drama, War","Easy Mode","A cornerstone of Golden Age Hollywood cinema starring Humphrey Bogart, making it widely recognized globally."
"When the Wind Blows","Animation, Drama, War","Impossible Mode","An obscure British animated film about nuclear war that remains unknown to the vast majority of the general public."
"Good Bye Lenin!","Comedy, Drama, Romance","Hard Mode","A major hit in world cinema and European circles, but it remains a niche title for general audiences outside of film enthusiasts."
"Wait Until Dark","Crime, Drama, Horror, Thriller","Hard Mode","A well-regarded Audrey Hepburn thriller that is famous among film buffs but lacks the ubiquitous fame of her major rom-coms."
"Black Narcissus","Drama, Psychological Thriller","Hard Mode","A visual masterpiece of British cinema that is essential viewing for cinephiles but largely unknown to the casual viewer."
"The Double Life of Véronique","Drama, Fantasy, Music, Romance","Impossible Mode","An abstract and philosophical foreign-language arthouse film that is highly obscure outside of dedicated film scholar circles."
"Scarlet Street","Film Noir, Crime, Drama","Hard Mode","A cornerstone of the film noir genre directed by Fritz Lang, but generally only known among dedicated cinephiles."
"The Joy Luck Club","Drama, Romance","Easy Mode","A significant commercial success and cultural touchstone based on a best-selling novel, widely known in Western markets."
"Cape Fear","Thriller, Crime","Easy Mode","Highly recognizable due to the classic 1962 original and the major 1991 Scorsese remake, both staples of the thriller genre."
"Marty","Drama, Romance","Hard Mode","While it won the Academy Award for Best Picture, its status as a quiet, character-driven 1950s drama makes it less common in modern pop culture discourse."
"When Marnie Was There","Animation, Drama, Family, Mystery","Hard Mode","As a Studio Ghibli film, it has a dedicated following, but it lacks the massive global name recognition of Miyazaki-directed hits like Spirited Away."
"The Broken Circle Breakdown","Drama, Music, Romance","Impossible Mode","An acclaimed Belgian drama that, despite an Oscar nomination, remains largely unknown to the general global movie-going audience."
"A Man for All Seasons","Biography, Drama, History","Hard Mode","A highly prestigious historical drama and Best Picture winner, though it is now primarily recognized by film historians and theater enthusiasts."
"Hell","Horror, Sci-Fi, Thriller","Impossible Mode","Usually referring to either the 1994 French film L'Enfer or the 2011 German sci-fi, the generic title and regional focus make it extremely obscure for a general audience."
"Dreams","Fantasy, Drama","Hard Mode","Directed by the legendary Akira Kurosawa, this episodic film is well-regarded in international cinema circles but is not a household name."
"The Killers","Film-Noir, Crime, Drama, Mystery","Hard Mode","A quintessential noir film that launched Burt Lancaster's career, yet it remains a niche title for the general public."
"The Little Prince","Animation, Adventure, Drama, Family, Fantasy","Easy Mode","Based on one of the most translated and globally recognized literary works in history."
"What's Up, Doc?","Comedy, Romance","Hard Mode","A well-regarded 1972 screwball comedy that maintains a niche cult following among cinephiles."
"Down by Law","Comedy, Crime, Drama","Hard Mode","A staple of independent cinema by Jim Jarmusch, recognized mainly by fans of underground and art-house films."
"The Experiment","Drama, Thriller","Hard Mode","A famous psychological thriller in European circles, but less known to general global audiences outside of genre fans."
"Key Largo","Crime, Drama, Film-Noir, Thriller","Easy Mode","A classic of the Golden Age of Hollywood starring Humphrey Bogart and Lauren Bacall."
"Raazi","Action, Drama, Thriller","Hard Mode","A major hit in Indian cinema but primarily recognized by South Asian audiences and international film buffs."
"The Purple Rose of Cairo","Comedy, Fantasy, Romance","Hard Mode","A critically acclaimed auteur film by Woody Allen that is known mostly within dedicated film circles."
"A Place in the Sun","Drama, Romance, Film-Noir","Easy Mode","An iconic American drama known for its star power with Elizabeth Taylor and Montgomery Clift."
"Adam's Apples","Comedy, Drama, Crime","Impossible Mode","A Danish dark comedy that, while acclaimed, has very limited name recognition on a global scale."
"3 Women","Drama, Mystery, Thriller","Impossible Mode","An experimental and surreal Robert Altman film that remains obscure to the general public."
"The Salesman","Drama, Thriller","Hard Mode","An Academy Award-winning Iranian film directed by Asghar Farhadi, widely known in the international film circuit."
"The Triplets of Belleville","Animation, Comedy, Adventure","Impossible Mode","A 2003 Swedish coming-of-age drama that, despite an Oscar nomination, is largely obscure to general global audiences."
"Splendor in the Grass","Drama, Romance","Easy Mode","A classic 1961 Hollywood drama starring Natalie Wood and Warren Beatty, frequently cited in American cinema history."
"Missing","Mystery, Thriller, Drama","Hard Mode","A notable 1982 political thriller starring Jack Lemmon; while critically acclaimed, it is less commonly referenced by modern audiences."
"Evil","Drama, Action","Hard Mode","Classified by default (no specific match)"
"L'Avventura","Drama, Mystery","Hard Mode","A canonical masterpiece by Michelangelo Antonioni that is essential for film students but remains niche for the general public."
"Confessions","Drama, Thriller, Psychological","Impossible Mode","A highly stylized Japanese psychological thriller from 2010 that is primarily known only to fans of East Asian cinema."
"L'Eclisse","Drama, Romance","Impossible Mode","Another Antonioni classic that, while artistically significant, is less recognizable than his most famous works like Blow-Up."
"My Darling Clementine","Western, Drama","Easy Mode","Regarded as one of the quintessential American Westerns directed by the legendary John Ford."
"The Bear","Adventure, Drama, Family","Hard Mode","A popular 1988 family-oriented nature film that was a hit in its time but has largely receded from current pop culture conversations."
"Joint Security Area","Drama, Thriller, War, Action","Hard Mode","A highly acclaimed South Korean film that is a cult classic internationally but remains niche for general audiences."
"Fireworks","Animation, Drama, Fantasy, Romance","Hard Mode","Directed by Takeshi Kitano, this Japanese masterpiece is famous among cinephiles but obscure to the casual viewer."
"How Green Was My Valley","Drama, Family","Easy Mode","A well-known Best Picture winner famous for beating Citizen Kane at the Academy Awards."
"The Pawnbroker","Drama","Hard Mode","An influential Holocaust drama known for its editing and Rod Steiger performance, though not a household name."
"Jules and Jim","Drama, Romance","Easy Mode","A defining film of the French New Wave that is widely recognized in global cinema history."
"After the Wedding","Drama","Impossible Mode","While an Oscar nominee, this Danish drama is relatively obscure to general global audiences outside film circles."
"The Young Girls of Rochefort","Musical, Romance, Comedy","Impossible Mode","A French musical with a dedicated niche following but very low recognition among mainstream viewers."
"The Women","Comedy, Drama","Easy Mode","A high-profile 1939 classic featuring an all-female star-studded cast including Norma Shearer and Joan Crawford."
"Holiday","Comedy, Romance","Easy Mode","A popular Golden Age romantic comedy starring major icons Cary Grant and Katharine Hepburn."
"Love and Death","Comedy, War, Satire, History","Hard Mode","A well-regarded Woody Allen satire that is popular with his fans but lacks the broad recognition of Annie Hall or Manhattan."
"The Muppet Christmas Carol","Comedy, Drama, Family, Musical","Easy Mode","A widely beloved holiday classic featuring global icons like the Muppets and Michael Caine."
"The Unknown Soldier","War, Drama, History","Impossible Mode","A defining piece of Finnish national cinema that is virtually unknown to general audiences outside of Northern Europe."
"Eega","Action, Fantasy, Comedy","Hard Mode","A massive hit in India and a cult favorite abroad, but requires knowledge of Tollywood or director S.S. Rajamouli."
"The Great Silence","Western, Drama","Hard Mode","A legendary Spaghetti Western that is essential viewing for genre fans but lacks mainstream household recognition."
"Dragon Ball Super: Broly","Action, Animation, Fantasy, Sci-Fi","Easy Mode","Part of the Dragon Ball franchise, which is one of the most recognizable media brands worldwide."
"The Girl Who Leapt Through Time","Animation, Science Fiction, Romance, Drama","Easy Mode","A staple of modern Japanese animation that is highly recognized by international audiences and anime fans."
"In America","Drama","Hard Mode","An Oscar-nominated indie drama that was prominent in the early 2000s but is not a common reference point today."
"Twelve O'Clock High","Drama, War","Hard Mode","A highly respected classic war film used in leadership training, yet largely unknown to younger or casual global audiences."
"The Turin Horse","Drama","Impossible Mode","An extreme example of slow cinema by Béla Tarr, recognized only by dedicated arthouse and academic film circles."
"Nightmare Alley","Crime, Drama, Thriller","Hard Mode","While recently remade by Guillermo del Toro, it remains a specific film noir title known primarily by cinephiles."
"Always","Fantasy, Romance, Drama","Hard Mode","Directed by Steven Spielberg, but remains one of his less-discussed and more niche romantic fantasies compared to his major blockbusters."
"The Breadwinner","Animation, Drama, Family, War","Hard Mode","An Academy Award-nominated animated feature by Cartoon Saloon that is highly acclaimed in artistic circles but niche among general audiences."
"Bad Day at Black Rock","Crime, Drama, Mystery, Thriller, Western","Hard Mode","A critical darling of the 1950s starring Spencer Tracy, recognized by classic film aficionados but rarely known by the public."
"Captain Blood","Adventure, Action, Romance","Easy Mode","A foundational Hollywood swashbuckler film that achieved massive global success and cemented Errol Flynn as a superstar."
"Der blaue Engel","Drama, Music, Romance","Hard Mode","A masterpiece of German Expressionism that introduced Marlene Dietrich to the world; famous in film history but obscure to casual viewers."
"Top Hat","Musical, Comedy, Romance","Easy Mode","The definitive Fred Astaire and Ginger Rogers musical, widely recognized globally as a pinnacle of the Golden Age of Hollywood."
"Zelig","Comedy, Fantasy, Mockumentary","Hard Mode","A technical marvel in the mockumentary sub-genre that is well-known among cinephiles but niche in the context of global pop culture."
"The Marriage of Maria Braun","Drama, History, Romance","Impossible Mode","A seminal work of the New German Cinema movement that is highly specialized and generally obscure to audiences outside of film studies."
"The Past","Drama, Mystery","Hard Mode","An acclaimed international drama by director Asghar Farhadi, known within the global festival circuit but less so in the mainstream."
"Joyeux Noel","Drama, History, War","Hard Mode","A multi-national production about the WWI Christmas truce that gained fame through its Oscar nomination but remains a niche holiday watch."
"Elmer Gantry","Drama, Romance","Easy Mode","A classic Hollywood drama that won multiple Academy Awards, including Best Actor for Burt Lancaster."
"Sergeant York","Biography, Drama, History, War","Easy Mode","One of the highest-grossing films of the 1940s and a staple of American classic cinema starring Gary Cooper."
"Last Year at Marienbad","Drama, Mystery, Romance","Hard Mode","A highly influential but avant-garde French film primarily known to cinephiles and film students."
"Vagabond","Drama","Hard Mode","A critically acclaimed masterpiece by Agnès Varda that is famous within the international arthouse circuit."
"A Thursday","Thriller, Drama","Impossible Mode","A recent direct-to-streaming thriller with very limited visibility outside of its primary domestic streaming platform."
"The Lady Eve","Comedy, Romance","Easy Mode","Regarded as one of the quintessential screwball comedies of the Golden Age of Hollywood."
"Corpus Christi","Drama","Impossible Mode","A contemporary Polish drama that received an Oscar nomination but remains largely unknown to mainstream global audiences."
"Mon Oncle","Comedy","Hard Mode","Jacques Tati's Oscar-winning comedy is well-known in world cinema circles but less so by the general public."
"The Edge of Heaven","Drama","Impossible Mode","An acclaimed German-Turkish co-production that is celebrated at festivals but lacks broad public awareness."
"Udta Punjab","Crime, Drama, Action","Hard Mode","A significant and controversial hit in Indian cinema, though its global recognition is concentrated in South Asian markets."
"Ball of Fire","Comedy, Romance, Crime","Hard Mode","A beloved Howard Hawks comedy featuring Gary Cooper and Barbara Stanwyck, well-regarded among cinephiles but niche in global recognition."
"Kapoor & Sons","Drama, Family, Romance","Easy Mode","A high-grossing modern Hindi film with significant international distribution and recognition in the 2010s mainstream market."
"The Gunfighter","Western, Drama","Hard Mode","A critically acclaimed classic Western known to fans of the genre and Gregory Peck, but not a household name globally."
"Intolerance","Drama, History","Hard Mode","A landmark of silent cinema that is a staple in film history education but largely unknown to the general modern audience."
"Mouchette","Drama","Impossible Mode","A minimalist French masterpiece by Robert Bresson that is highly obscure outside of dedicated arthouse and academic circles."
"The Awful Truth","Comedy, Romance","Hard Mode","An Academy Award-winning screwball comedy from the Golden Age of Hollywood, recognized primarily by enthusiasts of classic cinema."
"Mind Game","Animation, Adventure, Comedy, Fantasy, Romance","Impossible Mode","An experimental, avant-garde Japanese animated film that maintains a very small, specific cult following."
"The Gospel According to St. Matthew","Drama, Biography, History","Impossible Mode","Pier Paolo Pasolini's neo-realist religious film is a masterpiece of world cinema but remains unknown to general global audiences."
"Stroszek","Comedy, Drama","Impossible Mode","A bleak, idiosyncratic German film by Werner Herzog that remains obscure to all but the most devoted world-cinema fans."
"Rockstar","Musical, Drama, Romance","Easy Mode","A major Bollywood success with massive global viewership and a cult-classic soundtrack popular throughout the South Asian diaspora."
"Berserk: The Golden Age Arc II - The Battle for Doldrey","Animation, Action, Adventure, Fantasy, Horror","Impossible Mode","A specific anime sequel that is highly recognizable within its fandom but largely unknown to the general global population."
"The Enigma of Kaspar Hauser","Biography, Drama, History","Hard Mode","A significant work of the New German Cinema movement by Werner Herzog, primarily recognized by film students and enthusiasts."
"Machuca","Drama, History","Impossible Mode","A critically acclaimed Chilean film that is iconic in South America but remains relatively obscure on a global mainstream scale."
"The Official Story","Drama, History","Hard Mode","An influential Argentine drama that won an Oscar, recognized primarily by those interested in international or historical cinema."
"Kikujiro","Comedy, Drama","Hard Mode","A celebrated film by director Takeshi Kitano that is famous in world cinema circles but remains niche for mainstream audiences."
"Mephisto","Drama, History","Hard Mode","An Academy Award-winning Hungarian film that is highly regarded in cinematic history but not widely known by the general public."
"Water","Drama, Romance","Hard Mode","The third installment of Deepa Mehta's acclaimed trilogy which received international award attention but is not a household name."
"Waterloo Bridge","Drama, Romance, War","Easy Mode","A classic 1940 Hollywood romance starring Vivien Leigh that remains well-known to general fans of Golden Age cinema."
"Smiles of a Summer Night","Comedy, Romance","Hard Mode","A prominent comedy by Ingmar Bergman that is essential for cinephiles but lacks broad global pop-culture recognition."
"Three Wishes for Cinderella","Family, Fantasy, Adventure","Impossible Mode","A beloved holiday cult classic in Central and Northern Europe that is virtually unknown in many other parts of the world."
"The Second Mother","Drama, Comedy","Hard Mode","An acclaimed Brazilian drama that gained international attention through the Sundance Film Festival but remains a niche title globally."
"A Letter to Three Wives","Drama, Romance","Hard Mode","A classic Hollywood film that won Academy Awards but is primarily recognized today by enthusiasts of mid-century cinema."
"City of Life and Death","Drama, History, War","Impossible Mode","A Chinese historical drama highly regarded by critics and scholars but largely unknown to the general global audience."
"Ivan the Terrible, Part I","Drama, History, Biography","Hard Mode","A seminal work by Sergei Eisenstein that is a staple of film history curriculum but categorized as niche for contemporary viewers."
"Blind Chance","Drama","Impossible Mode","An influential Polish film by Krzysztof Kieslowski that is largely obscure outside of dedicated European art-house circles."
"Magadheera","Action, Drama, Fantasy, Romance","Hard Mode","A massive regional Indian blockbuster that has significant recognition within the subcontinent and its diaspora but is niche globally."
"Rory O'Shea Was Here","Comedy, Drama","Hard Mode","A cult favorite British-Irish independent film known to fans of indie cinema and James McAvoy."
"Kolya","Comedy, Drama, Music","Hard Mode","A Czech film that won the Best Foreign Language Film Oscar, providing it niche international recognition among cinephiles."
"Snitch","Action, Crime, Drama, Thriller","Easy Mode","A mainstream Hollywood action film starring Dwayne Johnson, benefiting from widespread commercial distribution and global star power."
"Dear Frankie","Drama, Romance","Impossible Mode","A low-budget independent British drama that maintained a limited commercial footprint and low global name recognition."
"The Barber of Siberia","Drama, Romance, History","Hard Mode","A massive Russian-European co-production directed by Nikita Mikhalkov that gained critical acclaim in Europe but remains niche globally."
"Nanban","Coming-of-age, Comedy, Drama","Hard Mode","A high-profile Tamil remake of '3 Idiots' that is widely known in South Asia but has limited recognition in the global mainstream."
"Bang Bang You're Dead","Drama, Crime, Thriller","Impossible Mode","A 2002 made-for-television film that is largely obscure outside of specific educational or cult interest circles."
"Character","Crime, Mystery, Thriller","Hard Mode","An Academy Award-winning Dutch film that is highly regarded by cinephiles but remains obscure to the general public."
"The Butterfly's Dream","Drama, Romance, History","Hard Mode","A critically successful Turkish drama that was submitted for the Oscars but lacks broad international name recognition."
"Shall We Dance?","Comedy, Drama, Romance","Easy Mode","A globally recognized Japanese classic that became a major international hit and inspired a Hollywood remake."
"Don","Action, Crime, Thriller","Easy Mode","An iconic pillar of Bollywood cinema with massive international popularity across multiple decades and iterations."
"Nerkonda Paarvai","Drama, Legal, Crime","Impossible Mode","A regional Tamil-language legal drama that, despite its local success, is virtually unknown to global audiences."
"Mr. India","Action, Adventure, Comedy, Drama, Sci-Fi","Easy Mode","A legendary Indian cult classic that is widely celebrated and recognized in the international film community."
"Guru","Drama, Biography, Romance","Easy Mode","A major commercial success from Mani Ratnam that received a wide international release and significant global recognition."
"Rock On!!","Drama, Musical","Hard Mode","A well-known Bollywood musical drama, but its recognition is primarily limited to the Indian subcontinent and diaspora."
"Geetha Govindam","Romance, Comedy","Hard Mode","A major commercial success in the Telugu film industry, though it remains a niche title for global audiences outside of Indian cinema."
"Tabutta Rövasata","Drama, Crime","Impossible Mode","A Turkish cult independent film that is highly obscure and rarely known outside of dedicated cinephile circles or Turkey."
"Oye Lucky! Lucky Oye!","Comedy, Crime, Drama","Hard Mode","A critically acclaimed Indian black comedy that has a strong cult following but lacks mainstream global awareness."
"Let's Sin","Comedy, Romance","Impossible Mode","An experimental Turkish film (Itirazim Var) that is virtually unknown to the general global public."
"Thou Gild'st the Even","Drama, Fantasy, Comedy","Impossible Mode","A niche Turkish arthouse film with limited international distribution and high obscurity."
"Mankatha","Action, Crime, Thriller","Hard Mode","A significant Tamil-language blockbuster that is famous in India but considered niche on the international stage."
"Harry Potter and the Sorcerer's Stone","Fantasy, Adventure, Family","Easy Mode","One of the most famous movies globally, part of a massive franchise with near-universal recognition."
"Saw","Horror, Mystery, Thriller","Easy Mode","A staple of the horror genre that launched a worldwide franchise known by many."
"Dazed and Confused","Comedy, Coming-of-Age","Easy Mode","A legendary Western cult classic that is widely cited and recognized in global pop culture."
"Avatar: The Way of Water","Action, Adventure, Sci-Fi","Easy Mode","A direct sequel to the highest-grossing film of all time with a massive global marketing presence."
"Once Upon a Time in Hollywood","Comedy, Drama","Easy Mode","A highly celebrated film by Quentin Tarantino featuring major stars like Leonardo DiCaprio and Brad Pitt."
"American Psycho","Crime, Drama, Horror","Easy Mode","A major cult classic whose imagery and dialogue have permeated modern internet culture and memes."
"Harry Potter and the Half-Blood Prince","Adventure, Family, Fantasy","Easy Mode","Part of the globally iconic Harry Potter franchise, which is one of the most recognizable brands in the world."
"Watchmen","Action, Drama, Mystery, Sci-Fi","Hard Mode","A deconstructionist superhero film that appeals to a more specific demographic than mainstream comic book movies."
"Superbad","Comedy","Easy Mode","A defining coming-of-age comedy of the 2000s that remains widely cited in popular culture."
"300","Action, Drama, History","Easy Mode","An iconic action film known worldwide for its distinct visual style and frequently referenced quotes."
"Star Wars: Episode III - Revenge of the Sith","Action, Adventure, Sci-Fi","Easy Mode","A key installment in the Star Wars prequel trilogy, widely recognized across generations."
"Giant","Drama, Western","Impossible Mode","A 1956 epic that, while a classic of cinema, is relatively obscure to general modern audiences compared to 21st-century blockbusters."
"Stardust","Adventure, Family, Fantasy, Romance","Hard Mode","A fantasy film based on Neil Gaiman's work that holds a cult status but lacks the broad recognition of major fantasy franchises."
"The Fifth Element","Action, Adventure, Sci-Fi","Easy Mode","A widely recognized science fiction classic featuring Bruce Willis."
"Love Actually","Romance, Comedy, Drama","Easy Mode","A staple of the holiday romantic comedy genre with global fame."
"Hell or High Water","Crime, Drama, Thriller, Western","Hard Mode","A critically acclaimed neo-Western that is more niche than standard blockbusters."
"The Little Mermaid","Adventure, Family, Fantasy, Romance, Musical","Easy Mode","A legendary Disney animated film with universal brand recognition."
"Moana","Animation, Adventure, Comedy, Family, Fantasy, Musical","Easy Mode","A massive modern Disney hit with widespread global appeal."
"Nimona","Animation, Adventure, Fantasy, Action","Impossible Mode","A more recent and relatively obscure animated feature compared to major studio classics."
"The Others","Horror, Mystery, Thriller","Easy Mode","A well-known and successful supernatural horror film starring Nicole Kidman."
"Office Space","Comedy","Hard Mode","A cult classic comedy that is highly recognized within specific niches but not universal."
"Baby Driver","Action, Crime, Thriller","Easy Mode","A popular contemporary action movie known for its stylized direction and soundtrack."
"Romeo and Juliet","Romance, Drama","Easy Mode","A universally known story with multiple high-profile cinematic adaptations."
"What We Do in the Shadows","Comedy, Horror","Hard Mode","While highly acclaimed and popular in cult and indie circles, it has less universal household recognition than major studio blockbusters."
"West Side Story","Drama, Musical, Romance","Easy Mode","A legendary musical property with widespread recognition across multiple generations and two major film adaptations."
"Guardians of the Galaxy Vol. 2","Action, Adventure, Comedy, Sci-Fi","Easy Mode","A high-grossing entry in the globally dominant Marvel Cinematic Universe with massive international marketing."
"Moulin Rouge!","Drama, Musical, Romance","Easy Mode","A widely celebrated and commercially successful musical that is a staple of modern pop culture cinema."
"Zombieland","Action, Comedy, Horror","Easy Mode","A mainstream box office success that helped define the modern horror-comedy genre for a global audience."
"Deadpool 2","Action, Adventure, Comedy","Easy Mode","A massive superhero sequel featuring a high-profile celebrity lead with global recognition."
"RoboCop","Action, Science Fiction, Crime","Easy Mode","An iconic 1980s science fiction property with lasting cultural impact and brand recognition."
"The Godfather Part III","Crime, Drama","Easy Mode","The conclusion to one of the most famous and critically acclaimed film trilogies in cinematic history."
"Train to Busan","Action, Horror, Thriller","Hard Mode","A critically acclaimed international film that, while extremely famous for genre fans, is less known to general mainstream audiences compared to Hollywood hits."
"Moneyball","Drama, Sport","Easy Mode","A prominent, Academy Award-nominated sports drama starring a world-famous actor, Brad Pitt."
"Kick-Ass","Action, Comedy, Crime","Easy Mode","A widely recognized superhero movie that became a pop-culture phenomenon and spawned a sequel."
"The Butterfly Effect","Sci-Fi, Thriller, Drama","Hard Mode","Considered a cult classic, it is well-known among film buffs but lacks universal recognition today."
"Midnight in Paris","Comedy, Fantasy, Romance","Hard Mode","A successful arthouse film that is highly regarded by critics but less known to general action-oriented audiences."
"Gifted","Drama","Impossible Mode","A smaller-scale family drama that, while popular on streaming, lacks the iconic status of the other titles."
"The Birds","Horror, Thriller","Easy Mode","An essential piece of cinematic history directed by Alfred Hitchcock, known by generations."
"The Reader","Drama, Romance","Impossible Mode","An intense period drama that is primarily known within award-watching circles rather than the general public."
"End of Watch","Action, Crime, Drama, Thriller","Hard Mode","A gritty, specialized crime drama that has a dedicated following but isn't a mainstream household name."
"Inside Man","Crime, Drama, Mystery, Thriller","Easy Mode","A major box-office hit with a star-studded cast that is frequently aired on television and streaming."
"Minority Report","Action, Sci-Fi, Thriller","Easy Mode","A blockbuster sci-fi film directed by Steven Spielberg and starring Tom Cruise, making it globally famous."
"Sherlock Holmes","Action, Adventure, Mystery","Easy Mode","Part of a massive global franchise based on one of the most famous literary characters in history."
"The Fly","Horror, Sci-Fi, Drama","Easy Mode","A seminal body-horror classic directed by David Cronenberg and known for its iconic makeup effects."
"Lost Highway","Neo-noir, Psychological Thriller, Mystery","Hard Mode","A surrealist neo-noir film by David Lynch that caters to a more niche audience of arthouse cinema fans."
"A Star Is Born","Drama, Music, Romance","Easy Mode","A massive cultural touchstone with multiple high-profile remakes across several decades."
"My Cousin Vinny","Comedy, Crime","Easy Mode","A highly popular and frequently quoted legal comedy that remains a staple of American pop culture."
"Jeremiah Johnson","Western, Adventure, Drama","Impossible Mode","A 1972 Western starring Robert Redford that, while acclaimed, has largely faded from the global mainstream consciousness."
"Guillermo del Toro's Pinocchio","Animation, Drama, Fantasy, Musical","Easy Mode","An Academy Award-winning animated feature from a world-famous director released on a major streaming platform."
"Kung Fu Panda","Animation, Action, Adventure, Comedy, Family","Easy Mode","A globally recognized multi-billion dollar animation franchise from DreamWorks Animation."
"Blood Simple","Crime, Drama, Thriller","Hard Mode","The directorial debut of the Coen Brothers, which is highly respected by cinephiles but less known by general audiences."
"The Machinist","Drama, Thriller","Hard Mode","Known primarily for Christian Bale's physical transformation, this psychological thriller remains a cult favorite rather than a mainstream hit."
"Dark City","Sci-Fi, Mystery, Thriller","Hard Mode","A cult science fiction classic that is highly influential among genre fans but lacks the broad recognition of its contemporary, The Matrix."
"Bridge of Spies","Drama, History, Thriller","Easy Mode","A high-profile Steven Spielberg historical drama starring Tom Hanks that received six Academy Award nominations."
"The Thin Red Line","War, Drama","Hard Mode","A Terrence Malick war film known for its philosophical depth, though less mainstream than other contemporary war movies."
"Falling Down","Action, Crime, Drama","Hard Mode","A 1993 crime drama featuring Michael Douglas that has a significant cult following but isn't a household name today."
"Close Encounters of the Third Kind","Sci-Fi, Drama","Easy Mode","A massive cultural phenomenon from Steven Spielberg that defined the science fiction genre in the 1970s."
